name,author
Use of Weapons,Iain M. Banks
Blood of Elves,Andrzej Sapkowski
Baptism of Fire,Andrzej Sapkowski
Pretenders to the Throne of God,Adrian Tchaikovsky
Green City Wars,Adrian Tchaikovsky
Made Things,Adrian Tchaikovsky
The Hungry Gods,Adrian Tchaikovsky
Quantum of Nightmares,Charles Stross
Lost in Work: Escaping Capitalism,Amelia Horgan
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi
Rationality: From AI to Zombies,Eliezer Yudkowsky
The Selfish Gene,Richard Dawkins
"Red, White & Royal Blue",Casey McQuiston
"The Improv Handbook: The Ultimate Guide to Improvising in Comedy, Theatre, and Beyond",Tom Salinsky
An Introduction to Contemporary Metaethics,Alex Miller
Psychology Applied to Modern Life: Adjustment in the 21st Century,Wayne Weiten
The Great Conversation: A Historical Introduction to Philosophy,Norman Melchert
Chomsky On Anarchism,Noam Chomsky
Profit Over People: Neoliberalism and Global Order,Noam Chomsky
The Last Question,Isaac Asimov
The Great Indian Novel,Shashi Tharoor
Death with Interruptions,José Saramago
The Loser,Thomas Bernhard
"Quicksilver (The Baroque Cycle, Vol. 1, Book 1)",Neal Stephenson
Unauthorized Bread,Cory Doctorow
The Collected Schizophrenias: Essays,Esmé Weijun Wang
Thick: And Other Essays,Tressie McMillan Cottom
Zed,Joanna Kavenna
The Binding,Bridget Collins
Women Talking,Miriam Toews
"The AI Does Not Hate You: Superintelligence, Rationality and the Race to Save the World",Tom Chivers
The Art of Logic in an Illogical World,Eugenia Cheng
Reasons and Persons,Derek Parfit
Hello World: Being Human in the Age of Algorithms,Hannah Fry
Feeling Good: The New Mood Therapy,David D. Burns
Artificial Unintelligence: How Computers Misunderstand the World,Meredith Broussard
The Stand,Stephen King
Childhood's End,Arthur C. Clarke
Privacy is Power,Carissa Véliz
"Debt: The First 5,000 Years",David Graeber
Codex Seraphinianus,Luigi Serafini
Asa Mi Asami [असा मी असामी],P. L. Deshpande [ पु. ल. देशपांडे ]
Batatyachi Chal [बटाट्याची चाळ],P. L. Deshpande [ पु. ल. देशपांडे ]
Mrutyunjay [मृत्युंजय],Shivaji Sawant
The Enemy Stars,Poul Anderson
The Paper Menagerie and Other Stories,Ken Liu
Radiance,Catherynne M. Valente
The Just City,Jo Walton
Critique of Pure Reason,Immanuel Kant
Middlegame,Seanan McGuire
Coraline,Neil Gaiman
"Cogs and Monsters: What Economics Is, and What It Should Be",Diane Coyle
The System of the World,Neal Stephenson
The Deep History of Ourselves: The Four-Billion-Year Story of How We Got Conscious Brains,Joseph E. LeDoux
The Reading List,Sara Nisha Adams
The Sentence,Louise Erdrich
The Confusion,Neal Stephenson
Light from Uncommon Stars,Ryka Aoki
Remember: The Science of Memory and the Art of Forgetting,Lisa Genova
The Comfort Book,Matt Haig
Fooled by Randomness,Nasim Taleb
Quicksilver,Neal Stephenson
Unsong,Scott Alexander
Burnt Sugar,Avni Doshi
The All-Consuming World,Cassandra Khaw
I Will Judge You by Your Bookshelf,Grant Snider
"Some Assembly Required: Decoding Four Billion Years of Life, from Ancient Fossils to DNA",Neil Shubin
Beyond the Gender Binary,Alok Vaid-Menon
The Nutmeg's Curse: Parables for a Planet in Crisis,Amitav Ghosh
The War of the Worlds,H.G. Wells
The Sentinel,Arthur C. Clarke
Kleptopia: How Dirty Money Is Conquering the World,Tom Burgis
Re-engineering Humanity,Brett Frischmann and Evan Selinger
Infomocracy,Malka Ann Older
Why Privacy Matters,Neil Richards
Story Genius: How to Use Brain Science to Go Beyond Outlining and Write a Riveting Novel (Before You Waste Three Years Writing 327 Pages That Go Nowhere),Lisa Cron
"Incompleteness, Nonlocality, and Realism: A Prolegomenon to the Philosophy of Quantum Mechanics",Michael Redhead
The City Inside,Samit Basu
What Moves The Dead,T. Kingfisher
Time for Socialism,Thomas Piketty
A Portrait of the Artist as a Young Man,James Joyce
The Future is Degrowth: A Guide to a World beyond Capitalism,"Matthias Schmelzer, Aaron Vansintjan, Andrea Vetter"
On the Geneology of Morals,Friedrich Nietzsche
What Do You Say After You Say Hello,Eric Berne
Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,Angela Saini
Privacy Is Hard and Seven Other Myths,Jaap-Henk Hoepman
Understanding Privacy,Daniel J. Solove
Privacy's Blueprint: The Battle to Control the Design of New Technologies,Woodrow Hartzog
"The Fight for Privacy: Protecting Dignity, Identity, and Love in the Digital Age",Danielle Citron
Breached: Why Security Law Fails and How to Improve It,Daniele J. Solove and Woodrow Hartzog
The Happy Valley,Benjamin Harnett
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt
Platonic: How the Science of Attachment Can Help You Make And Keep Friends,Marisa G Franco
Privacy in Context,Helen Nissembaum
Data and Goliath,Bruce Schneier
Every Cradle is a Grave: Rethinking the Ethics of Birth and Suicide,Sarah Perry
Discourses and Enchiridion,Epictetus
The Lies of the Ajungo,Moses Ose Utomi
"Personal Knowledge Graphs: Connected thinking to boost productivity, creativity and discovery","Ivo Velitchkov, George Anadiotis"
Thinking About Mathematics: The Philosophy of Mathematics,Stewart Shapiro
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee
The Game of Logic,Lewis Carroll
Data Privacy: A Runbook for Engineers,Nishant Bhajaria
Practical Data Privacy: Enhancing Privacy and Security in Data,Katharine Jarmul
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold
The Battle for Your Brain: Defending the Right to Think Freely in the Age of Neurotechnology,Nita A. Farahany
The Birth and Death of Meaning: An Interdisciplinary Perspective on the Problem of Man,Ernest Becker
Beyond Good and Evil,Friedrich Nietzsche
Another Now: Dispatches from an Alternative Present,Yanis Varoufakis
Animal's People,Indra Sinha
The Psychology of Man's Possible Evolution,P.D. Ouspensky
The Android's Dream,John Scalzi
Peak: Secrets from the New Science of Expertise,K. Anders Ericsson
"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane
Cloud Atlas,David Mitchell
"Autocracy, Inc: The Dictators Who Want to Run the World",Anne Applebaum
From These Ashes: The Complete Short SF of Fredric Brown,Fredric Brown
